op,pid,latency_ticks,cs_ticks,flags
3,8,18455,0,0
2,8,28762,10290,0
3,8,39201,20240,0
2,8,49396,30417,0
3,8,18455,0,0
2,8,38831,20335,0
3,8,18473,0,0
2,8,38729,20256,0
3,9,2434152,929844,0
2,9,41593,21613,0
3,9,18648,0,0
2,9,39583,20583,0
3,9,18455,0,0
2,9,38874,20374,0
3,9,39418,20419,0
2,9,28754,10267,0
3,9,18455,0,0
2,9,28825,10348,0
3,9,18455,0,0
2,9,39507,20524,0
3,9,18455,0,0
2,9,39386,20289,0
3,9,18472,0,0
2,9,28885,10338,0
3,9,39333,20352,0
2,9,49498,30482,0
3,9,18473,0,0
2,9,28837,10339,0
3,9,18455,0,0
2,9,38864,20354,0
3,9,18473,0,0
2,9,38833,20335,0
3,9,18455,0,0
2,9,28837,10339,0
2,10,2428900,888884,0
3,10,41140,21455,0
2,10,39951,20633,0
3,10,39506,20278,0
2,10,28875,10355,0
3,10,39203,20242,0
2,10,38710,20237,0
3,10,39222,20261,0
2,10,38713,20240,0
3,10,39222,20261,0
2,10,39283,20238,0
3,10,18494,0,0
2,10,28890,10392,0
3,10,18455,0,0
2,10,39392,20530,0
3,10,18579,0,0
2,10,38861,20340,0
3,10,39211,20250,0
2,10,39357,20495,0
3,10,18557,0,0
2,10,49681,30607,0
3,10,18491,0,0
2,10,38828,20324,0
2,7,2413787,929872,0
3,7,18740,0,0
2,7,40262,21187,0
3,7,39238,20277,0
2,7,38690,20217,0
3,7,39189,20228,0
2,7,49835,30799,0
3,7,18473,0,0
2,7,28761,10289,0
3,7,39189,20228,0
2,7,38741,20245,0
3,7,18473,0,0
2,7,39301,20256,0
3,7,18460,0,0
2,7,39522,20510,0
3,7,18455,0,0
2,7,38784,20288,0
3,7,18473,0,0
3,10,18455,0,0
2,10,39419,20579,0
3,10,18560,0,0
2,10,39343,20844,0
3,10,18455,0,0
2,10,50650,30692,0
3,10,18562,0,0
2,10,50221,30789,0
3,10,18592,0,0
2,10,39334,20526,0
3,10,18531,0,0
2,10,28817,10328,0
3,10,39478,20517,0
2,10,39270,20472,0
3,10,18541,0,0
2,10,49613,30618,0
3,10,18455,0,0
2,7,2415554,931096,0
3,7,19041,0,0
2,7,29878,10693,0
3,7,39272,20311,0
2,7,38690,20217,0
3,7,18455,0,0
2,7,39317,20787,0
3,7,39225,20245,0
2,7,38762,20266,0
3,7,18473,0,0
2,7,28779,10306,0
3,7,39201,20240,0
2,7,28740,10267,0
3,7,19046,0,0
2,7,28816,10298,0
3,7,39200,20239,0
2,7,49396,30417,0
3,7,18455,0,0
2,7,38805,20309,0
3,7,18473,0,0
2,7,28877,10404,0
3,7,18455,0,0
